data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7172608,376,ISR2149,2149,7/31/2020,2020,1,Protests,Peaceful protest,Protesters (Israel),Black Flag Movement,6,,,0,60,Middle East,Israel,Tel Aviv,Tel Aviv,,Mehlaf Alluf Sade,32.0553,34.8348,1,Black Flag Movement,New media,"On 31 July 2020, a protest was held in Mehlaf Alluf Sade, as part of nation wide protests calling for the resignation of the prime minister, the protests were organized by the 'Black Flag Movement'. [size=no report]",0,1596472880,ISR
7172609,376,ISR2150,2150,7/31/2020,2020,1,Protests,Peaceful protest,Protesters (Israel),Black Flag Movement,6,,,0,60,Middle East,Israel,HaMerkaz,Petah Tikva,,Enat,32.0832,34.9387,1,Black Flag Movement,New media,"On 31 July 2020, a protest was held in Enat, as part of nation wide protests calling for the resignation of the prime minister, the protests were organized by the 'Black Flag Movement'. [size=no report]",0,1596472880,ISR
7172610,376,ISR2151,2151,7/31/2020,2020,1,Protests,Peaceful protest,Protesters (Israel),Black Flag Movement,6,,,0,60,Middle East,Israel,HaMerkaz,Ramla,,Ben Gurion International Airport,32.0136,34.8866,1,Black Flag Movement,New media,"On 31 July 2020, a protest was held on a junction outside of Ben Gurion International Airport, as part of nation wide protests calling for the resignation of the prime minister, the protests were organized by the 'Black Flag Movement'. [size=no report]",0,1596472880,ISR
7172611,376,ISR2152,2152,7/31/2020,2020,1,Protests,Peaceful protest,Protesters (Israel),Black Flag Movement,6,,,0,60,Middle East,Israel,HaMerkaz,Rehovot,,Rishon LeZion,31.971,34.7894,1,Black Flag Movement,New media,"On 31 July 2020, 6 protests were held in several areas in Rishon LeZion city, as part of nation wide protests calling for the resignation of the prime minister, the protests were organized by the 'Black Flag Movement'. [size=no report]",0,1596472880,ISR
7172612,376,ISR2153,2153,7/31/2020,2020,1,Protests,Peaceful protest,Protesters (Israel),Black Flag Movement,6,,,0,60,Middle East,Israel,HaMerkaz,Rehovot,,Rehovot,31.8942,34.812,1,Black Flag Movement,New media,"On 31 July 2020, 2 protests were held in Rehovot city, as part of nation wide protests calling for the resignation of the prime minister, the protests were organized by the 'Black Flag Movement'. [size=no report]",0,1596472880,ISR
7172613,376,ISR2154,2154,7/31/2020,2020,1,Protests,Peaceful protest,Protesters (Israel),Black Flag Movement,6,,,0,60,Middle East,Israel,HaMerkaz,Rehovot,,Naan,31.8828,34.8583,1,Black Flag Movement,New media,"On 31 July 2020, a protest was held in Naan, as part of nation wide protests calling for the resignation of the prime minister, the protests were organized by the 'Black Flag Movement'. [size=no report]",0,1596472880,ISR
7172614,376,ISR2155,2155,7/31/2020,2020,1,Protests,Peaceful protest,Protesters (Israel),Black Flag Movement,6,,,0,60,Middle East,Israel,HaMerkaz,Rehovot,,Kefar Bilu,31.877,34.8211,1,Black Flag Movement,New media,"On 31 July 2020, a protest was held in Kefar Bilu, as part of nation wide protests calling for the resignation of the prime minister, the protests were organized by the 'Black Flag Movement'. [size=no report]",0,1596472880,ISR
7172615,376,ISR2156,2156,7/31/2020,2020,1,Protests,Peaceful protest,Protesters (Israel),Black Flag Movement,6,,,0,60,Middle East,Israel,HaMerkaz,Rehovot,,Nezer Sereni,31.9232,34.8238,1,Black Flag Movement,New media,"On 31 July 2020, a protest was held in Nezer Sereni, as part of nation wide protests calling for the resignation of the prime minister, the protests were organized by the 'Black Flag Movement'. [size=no report]",0,1596472880,ISR
7172616,376,ISR2157,2157,7/31/2020,2020,1,Protests,Peaceful protest,Protesters (Israel),Black Flag Movement,6,,,0,60,Middle East,Israel,HaMerkaz,Rehovot,,Yavne,31.8808,34.7384,1,Black Flag Movement,New media,"On 31 July 2020, a protest was held in Yavne, as part of nation wide protests calling for the resignation of the prime minister, the protests were organized by the 'Black Flag Movement'. [size=no report]",0,1596472880,ISR
7172617,376,ISR2158,2158,7/31/2020,2020,1,Protests,Peaceful protest,Protesters (Israel),Black Flag Movement,6,,,0,60,Middle East,Israel,HaMerkaz,Rehovot,,Bet Rabban,31.8168,34.7294,1,Black Flag Movement,New media,"On 31 July 2020, a protest was held in Bet Rabban, as part of nation wide protests calling for the resignation of the prime minister, the protests were organized by the 'Black Flag Movement'. [size=no report]",0,1596472880,ISR
7172618,376,ISR2159,2159,7/31/2020,2020,1,Protests,Peaceful protest,Protesters (Israel),Black Flag Movement,6,,,0,60,Middle East,Israel,HaMerkaz,Rehovot,,Hulda,31.8318,34.8823,1,Black Flag Movement,New media,"On 31 July 2020, a protest was held in Hulda, as part of nation wide protests calling for the resignation of the prime minister, the protests were organized by the 'Black Flag Movement'. [size=no report]",0,1596472880,ISR
7172619,376,ISR2160,2160,7/31/2020,2020,1,Protests,Peaceful protest,Protesters (Israel),Black Flag Movement,6,,,0,60,Middle East,Israel,HaDarom,Ashqelon,,Kiryat Gat,31.61,34.7642,1,Black Flag Movement,New media,"On 31 July 2020, a protest was held in Kiryat Gat, as part of nation wide protests calling for the resignation of the prime minister, the protests were organized by the 'Black Flag Movement'. [size=no report]",0,1596472880,ISR
7172620,376,ISR2121,2121,7/31/2020,2020,1,Protests,Peaceful protest,Protesters (Israel),Black Flag Movement,6,,,0,60,Middle East,Israel,Haifa,Haifa,,El Fureidis,32.5981,34.9515,1,Black Flag Movement,New media,"On 31 July 2020, a protest was held in El Fureidis, as part of nation wide protests calling for the resignation of the prime minister, the protests were organized by the 'Black Flag Movement'. [size=no report]",0,1596472880,ISR
