data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7172760,275,PSE7360,7360,7/31/2020,2020,1,Protests,Protest with intervention,Protesters (Palestine),,6,Military Forces of Israel (2009-),,8,68,Middle East,Palestine,West Bank,Qalqilya,,Kafr Qaddum,32.2216,35.1447,1,Palestine News and Information Agency,National,"On 31 July 2020, Israeli military forces fired tear gas and rubber bullets to disperse a Palestinian peaceful protest against the Israeli occupation, in Kafr Qaddum. [size= no report]",0,1596472881,PSE
7172759,275,PSE7359,7359,7/28/2020,2020,1,Protests,Peaceful protest,Protesters (Palestine),,6,,,0,60,Middle East,Palestine,West Bank,Tulkarm,,Tulkarm,32.3104,35.0286,1,Palestine News and Information Agency,National,"On 28 July 2020, a protest was held in Tulkarm city, in solidarity with Palestinian prisoners in Israeli prisons, and to demand better medical care for the sick prisoners including coronavirus. [size=no report]",0,1596472881,PSE
7172758,275,PSE7358,7358,7/27/2020,2020,1,Protests,Peaceful protest,Protesters (Palestine),,6,,,0,60,Middle East,Palestine,West Bank,Al Quds,,Al Quds,31.7834,35.2339,1,Palestine News and Information Agency,National,"On 27 July 2020, tens protested in Al Quds, demanding that Israel return the body of a Palestinian who was shot and killed last month by Israeli soldiers at a military checkpoint. [size=tens]",0,1596472881,PSE
7172413,275,PSE7361,7361,7/26/2020,2020,1,Riots,Mob violence,Rioters (Palestine),,5,Police Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Al Quds,,Isawiya,31.8031,35.287,1,Twitter; Liveuamap,Local partner-New media,"On 26 July 2020, Palestinian rioters clashed with Israeli police forces in Isawiya, the rioters threw Molotov cocktails at the police vehicles. [size=no report]",0,1596472880,PSE
7168904,275,PSE7357,7357,7/25/2020,2020,1,Strategic developments,Looting/property destruction,Settlers (Israel),,3,Civilians (Palestine),Farmers (Palestine),7,37,Middle East,Palestine,West Bank,Nablus,,Huwwarah,32.1522,35.2567,1,Palestine News and Information Agency,National,"Property destruction: On 25 July 2020, Israeli settlers burnt down Palestinian farm lands, planted with olive trees, in Huwwarah.",0,1595869898,PSE
7168903,275,PSE7356,7356,7/23/2020,2020,1,Strategic developments,Looting/property destruction,Settlers (Israel),,3,Civilians (Palestine),,7,37,Middle East,Palestine,West Bank,Nablus,,Jammain,32.1316,35.204,1,Palestine News and Information Agency,National,"Property destruction: On 23 July 2020, Israeli settlers burnt down working equipment belonging to Palestinian workers, including a bulldozer, in Jammain village.",0,1595869898,PSE
7168763,275,PSE7355,7355,7/22/2020,2020,1,Riots,Mob violence,Rioters (Israel),Settlers (Israel),5,Civilians (Palestine),,7,57,Middle East,Palestine,West Bank,Nablus,,Homesh,32.3,35.1833,1,Ma'an News Agency,National,"On 22 July 2020, Israeli settlers closed a main highway, used by Palestinians, and threw rocks at Palestinian vehicles, causing heavy damage, in Homesh. [size=no report]",0,1595869896,PSE
7168768,275,PSE7352,7352,7/21/2020,2020,1,Strategic developments,Looting/property destruction,Military Forces of Israel (2009-),,8,Civilians (Palestine),Farmers (Palestine),7,78,Middle East,Palestine,West Bank,Bethlehem,,Bethlehem,31.7049,35.2038,2,MENA (Africa),International,"Land seizure: On 21 July 2020, Israeli military forces confiscated 700 dunams of Palestinian farm lands, east of Bethlehem city.",0,1595869896,PSE
7168901,275,PSE7348,7348,7/21/2020,2020,1,Strategic developments,Looting/property destruction,Military Forces of Israel (2009-),,8,Civilians (Palestine),Farmers (Palestine),7,78,Middle East,Palestine,West Bank,Salfit,,Dayr Istiya,32.131,35.1396,1,Palestine News and Information Agency,National,"Property destruction: On 21 July 2020, Israeli military forces cut down 220 olive trees belonging to Palestinian farmers, in Dayr Istiya.",0,1595869898,PSE
7168902,275,PSE7349,7349,7/21/2020,2020,1,Protests,Peaceful protest,Protesters (Palestine),,6,,,0,60,Middle East,Palestine,West Bank,Tulkarm,,Tulkarm,32.3104,35.0286,1,Palestine News and Information Agency,National,"On 21 July 2020, a protest was held in Tulkarm, in solidarity with sick Palestinian prisoners in Israeli prisons. [size=no report]",0,1595869898,PSE
7168416,275,PSE7353,7353,7/21/2020,2020,1,Protests,Peaceful protest,Protesters (Palestine),,6,,,0,60,Middle East,Palestine,West Bank,Ramallah,,Ofer Prison,31.8721,35.1763,1,Twitter; Liveuamap,Local partner-New media,"On 21 July 2020, a protest was held in front of Ofer prison, in solidarity with Palestinian prisoners in Israeli prisons. [size=no report]",0,1595869894,PSE
7168417,275,PSE7354,7354,7/21/2020,2020,1,Riots,Mob violence,Rioters (Palestine),,5,Police Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Al Quds,,Al Quds,31.7834,35.2339,1,Liveuamap; Twitter,Local partner-New media,"On 21 July 2020, Palestinian rioters clashed with Israeli police forces, in Ras Kubsa area of East Jerusalem. [size=no report]",0,1595869894,PSE
